Day,Housekeeper,Room Name,Completion Time,Link
Monday,D,72 Building Trash,30,
Monday,D,25/52 Building Trash,30,
Monday,D,92 Building Trash,30,
Monday,E,Room 320,30,
Monday,E,Room 323,30,
Monday,E,Room 326,30,
Monday,E,Room 328,30,
Monday,,Janitorial 72-3,20,
Monday,D,Bathroom 72-3-1,45,
Monday,D,Bathroom 72-3-2,45,
Monday,,Entrance A Stairs,30,
Monday,,Entrance A,30,
Tuesday,E,Room 220,30,
Tuesday,D,Kitchen 72-2,30,
Tuesday,E,Hallway 72-2,60,
Tuesday,,Janitorial 72-2,20,
Tuesday,D,Bathroom 72-2-1,45,
Tuesday,D,Bathroom 72-2-2,45,
Tuesday,D,The Zone,120,
Tuesday,D,Bathroom Zone,45,
Wednesday,E,Hallway 72-1,60,
Wednesday,E,Room 124,30,
Wednesday,E,Room 127,30,
Wednesday,E,Room 128,30,
Wednesday,E,Room 130,30,
Wednesday,D,Bathroom 130,30,
Wednesday,E,Room 134,30,
Wednesday,,Janitorial 72-1,20,
Wednesday,D,Bathroom 72-1-1,45,
Wednesday,D,Bathroom 72-1-2,45,
Wednesday,D,Bathroom 127,45,
Wednesday,D,Bathroom 134,45,
Wednesday,,Stairwell F,30,
Wednesday,E,Entrance F,30,
Friday,A,Room Office,120,
Friday,A,Room Conference,30,
Friday,A,Kitchen Office,30,
Friday,A,Room Meet 1,15,
Friday,A,Room Meet 2,15,
Friday,A,Room Meet 3,15,
Wednesday,A,Studio,15,
Wednesday,,Stairwell C,30,
Wednesday,,Stairwell D,30,
Monday,E,Hallway FH1,60,
Monday,E,Hallway FH2,60,
Monday,D,Room 108-110,60,
Monday,D,Room 113,30,
Monday,D,Room 112,30,
Monday,D,Room 111,30,
Monday,D,Kitchen 92-1,60,
Monday,,Janitorial 92-1,20,
Monday,,Room 102,30,
Monday,,Room 103,30,
Monday,,Bathroom 102,45,
Monday,D,Bathroom 92-1-1,45,
Monday,D,Bathroom 92-1-2,45,
Tuesday,E,Room 118,30,
Tuesday,D,Bathroom 118,45,
Tuesday,E,Entrance E,30,
Tuesday,E,Hallway 92-1,60,
Wednesday,,Stairwell E,30,
Wednesday,,Stairwell B,30,
Wednesday,D,Worship Center,120,
Wednesday,D,Worship Center Balcony,60,
Thursday,D,Bathroom 92-2-1,45,
Thursday,D,Bathroom 92-2-2,45,
Thursday,D,Bathroom 92-3-1,45,
Thursday,D,Bathroom 92-3-2,45,
Wednesday,D,Hallway 92-2,60,
Wednesday,D,Hallway 92-3,60,
Thursday,,Room 254,30,
Thursday,,Room 255,30,
Thursday,,Hallway 25-2,60,
Friday,A,Hallway 25-1,60,
Thursday,,Bathroom 25-2-1,45,
Thursday,,Bathroom 25-2-2,45,
Thursday,E,Gym (Lower),60,
Thursday,E,Gym (Upper),60,
Thursday,D,Refill Baptistry,30,
Any,,Clean Tile Grout in 72 Building,60,https://form.jotform.com/250955404825056?space=Clean Tile Grout in 72 Building
Friday,,Vacuum Workshop Floor,20,https://form.jotform.com/250955404825056?space=Vacuum Workshop Floor
Monday,D,Empty Trash Cart Before Leaving-M,30,https://form.jotform.com/250955404825056?space=Empty Trash Cart Before Leaving-M
Tuesday,D,Empty Trash Cart Before Leaving-T,30,https://form.jotform.com/250955404825056?space=Empty Trash Cart Before Leaving-T
Wednesday,A,Empty Trash Cart Before Leaving-W,30,https://form.jotform.com/250955404825056?space=Empty Trash Cart Before Leaving-W
Thursday,D,Empty Trash Cart Before Leaving-H,30,https://form.jotform.com/250955404825056?space=Empty Trash Cart Before Leaving-H
Friday,D,Empty Trash Cart Before Leaving-F,30,https://form.jotform.com/250955404825056?space=Empty Trash Cart Before Leaving-F
