Day,Housekeeper,Room Name,Completion Time,Link
Monday,B,Building Trash,30,https://form.jotform.com/250955404825056?space=Building Trash
Monday,B,Bathroom 128-R,60,
Monday,B,Bathroom 129-R,45,
Monday,B,Bathroom 132-R,45,
Monday,B,Bathroom 131-R,45,
Monday,B,Hallway 102-R,90,
Monday,B,Room 104-R,30,
Monday,B,Room 105-R,30,
Monday,B,Bathroom 106-R,45,
Monday,B,Room 107-R,30,
Monday,B,Hallway 103-R,30,
Monday,D,Room 110-R,30,
Monday,D,Bathroom 108-R,45,
Monday,D,Bathroom 109-R,45,
Monday,D,Room 111-112-R,30,
Monday,D,Kitchen 113-R,30,
Monday,D,Bathroom 114-R,45,
Monday,D,Bathroom 115-R,45,
Monday,D,Room117-R,30,
Monday,D,Auditorium-R,120,
Monday,D,Room 121-R,30,
